"","UniqueID","Experiment","Year","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number","RFTM_score.x","peacrabs","Species2.x","Bucket","Color.Number","Old.New","Length_pre","Width_pre","Height_pre","Weight","Length_post","Width_post","Height_post","Weight_post","live_barnacles","dead_barnacles","polydora_scars","RFTM_score.y","Species2.y","Bucket2","Bucket_colnum"
"23","2018_HIGH_POLY_HP3B65_CV","Lab18",2018,"HIGH","POLY","HP3","B65",0,NA,"CV","HP3","B65","OLD",38.66,36.16,12.73,8.28,"42.8",36.34,"14.49",14.68,"0",0,0,0,"CV","HIGH_POLY","HP3B65"
"24","2018_HIGH_POLY_HP3W36_CV","Lab18",2018,"HIGH","POLY","HP3","W36",0,NA,"CV","HP3","W36","OLD",41.73,24.46,14.4,5.29,"42.53",28.62,"10.62",11.54,"0",0,0,0,"CV","HIGH_POLY","HP3W36"
"25","2018_HIGH_POLY_HP3W36_IR","Lab18",2018,"HIGH","POLY","HP3","W36",0,NA,"IR","HP3","W36",NA,48.14,28.61,17.35,8.27,"47.81",24.42,"17.51",11.6,"0",0,0,0,"IR","HIGH_POLY","HP3W36"
"26","2018_HIGH_POLY_HP3W37_IR","Lab18",2018,"HIGH","POLY","HP3","W37",0,NA,"IR","HP3","W37",NA,40.13,22.03,14.91,5.21,"38.96",20.1,"14.01",5.87,"0",0,0,0,"IR","HIGH_POLY","HP3W37"
"27","2018_HIGH_POLY_HP3W4_IR","Lab18",2018,"HIGH","POLY","HP3","W4",0,NA,"IR","HP3","W4",NA,42.48,24.21,16.07,6.96,"41.06",21.32,"15.21",8.75,"0",0,0,0,"IR","HIGH_POLY","HP3W4"
"28","2018_HIGH_POLY_HP3W40_IR","Lab18",2018,"HIGH","POLY","HP3","W40",0,NA,"IR","HP3","W40",NA,38.24,22.52,13.01,5.64,"38.37",21.34,"13.91",2.49,"0",0,0,0,"IR","HIGH_POLY","HP3W40"
"29","2018_HIGH_POLY_HP3W45_CV","Lab18",2018,"HIGH","POLY","HP3","W45",1,NA,"CV","HP3","W45","OLD",34.78,19.84,9.3,3.22,"34.99",22.44,"10.33",6.31,"0",0,0,1,"CV","HIGH_POLY","HP3W45"
"30","2018_HIGH_POLY_HP3W61_CV","Lab18",2018,"HIGH","POLY","HP3","W61",0,NA,"CV","HP3","W61","OLD",39.72,20.63,11.87,3.08,"41.16",22.72,"8.18",7.82,"0",0,0,0,"CV","HIGH_POLY","HP3W61"
"31","2018_HIGH_POLY_HP3W9_IR","Lab18",2018,"HIGH","POLY","HP3","W9",0,NA,"IR","HP3","W9",NA,40.49,27.29,15.87,8.21,"49.67",24.59,"20.99",16.5,"0",0,0,0,"IR","HIGH_POLY","HP3W9"
"32","2018_HIGH_POLY_HP51_MB","Lab18",2018,"HIGH","POLY","HP5","1",1,NA,"LP","HP5","1",NA,NA,NA,NA,NA,"13.59",11.32,"4.66",0.38,"0",0,0,1,"LP","HIGH_POLY","HP51"
"33","2018_HIGH_POLY_HP52_MM","Lab18",2018,"HIGH","POLY","HP5","2",0,NA,"AM","HP5","2",NA,NA,NA,NA,NA,"13.01",8.39,"4.02",0.21,"0",0,0,0,"AM","HIGH_POLY","HP52"
"34","2018_HIGH_POLY_HP54_MM","Lab18",2018,"HIGH","POLY","HP5","4",0,NA,"AM","HP5","4",NA,NA,NA,NA,NA,"14.07",9.51,"4.72",0.35,"0",0,0,0,"AM","HIGH_POLY","HP54"
