"","UniqueID","Experiment","Year","Site","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number","Species","Length_pre","Width_pre","Height_pre","Weight_pre","Length_post","Width_post","Height_post","Weight_post","RFTM_score","peacrabs","Length_delta","Weight_delta","RFTM_simp","RFTM_pa"
"2018_HIGH_MONO_HM4Y44_CV","2018_HIGH_MONO_HM4Y44_CV","Lab18",2018,NA,"HIGH","MONO","HM4","Y44","CV",27.32,20.28,10.03,2,NA,NA,NA,NA,0,"0",NA,NA,"0","0"
"2018_HIGH_MONO_HM4Y53_CV","2018_HIGH_MONO_HM4Y53_CV","Lab18",2018,NA,"HIGH","MONO","HM4","Y53","CV",26.82,18.9,10.37,2.36,62.36,34.64,12.51,18.85,0,"0",1.32513049962714,6.98728813559322,"0","0"
"2018_HIGH_MONO_HM8O20_CV","2018_HIGH_MONO_HM8O20_CV","Lab18",2018,NA,"HIGH","MONO","HM8","O20","CV",47.19,27.81,12.76,7.22,43.28,31.67,13.17,13,0,"0",-0.0828565374019919,0.800554016620499,"0","0"
"2018_HIGH_MONO_HM8O34_CV","2018_HIGH_MONO_HM8O34_CV","Lab18",2018,NA,"HIGH","MONO","HM8","O34","CV",27.27,24.85,6.77,2.63,45.51,28.37,10.16,11.89,0,"0",0.668866886688669,3.52091254752852,"0","0"
"2018_HIGH_MONO_HM8O66_CV","2018_HIGH_MONO_HM8O66_CV","Lab18",2018,NA,"HIGH","MONO","HM8","O66","CV",34.97,27.27,10.59,4.6,51.45,30.7,11.97,16.45,0,"0",0.471261080926509,2.57608695652174,"0","0"
"2018_HIGH_MONO_HM8Y28_CV","2018_HIGH_MONO_HM8Y28_CV","Lab18",2018,NA,"HIGH","MONO","HM8","Y28","CV",54.77,24.53,15.87,8.29,42.54,27.36,10.48,9.67,0,"0",-0.223297425597955,0.166465621230398,"0","0"
"2018_HIGH_MONO_HM8Y52_CV","2018_HIGH_MONO_HM8Y52_CV","Lab18",2018,NA,"HIGH","MONO","HM8","Y52","CV",35.26,24,12.1,3.72,41.6,34.27,11.98,13.42,0,"0",0.179807146908678,2.60752688172043,"0","0"
"2018_HIGH_POLY_HP1W5_CV","2018_HIGH_POLY_HP1W5_CV","Lab18",2018,NA,"HIGH","POLY","HP1","W5","CV",48,24.68,11.78,6.54,49.48,30.2,12.1,13.82,0,"0",0.0308333333333333,1.1131498470948,"0","0"
"2018_HIGH_POLY_HP1W62_CV","2018_HIGH_POLY_HP1W62_CV","Lab18",2018,NA,"HIGH","POLY","HP1","W62","CV",32.81,24.65,11.01,3.55,35.94,29.79,11.4,7.58,0.5,"0",0.0953977445900639,1.13521126760563,"1","1"
"2018_HIGH_POLY_HP1W63_CV","2018_HIGH_POLY_HP1W63_CV","Lab18",2018,NA,"HIGH","POLY","HP1","W63","CV",33.22,28.09,11.77,4.46,34.52,28.75,10.79,8.14,0,"0",0.0391330523780856,0.825112107623319,"0","0"
"2018_HIGH_POLY_HP1Y33_IR","2018_HIGH_POLY_HP1Y33_IR","Lab18",2018,NA,"HIGH","POLY","HP1","Y33","IR",38.27,21.24,14.54,5.08,41.2,22,15.28,7.49,0,"0",0.0765612751502482,0.474409448818898,"0","0"
"2018_HIGH_POLY_HP1Y55_IR","2018_HIGH_POLY_HP1Y55_IR","Lab18",2018,NA,"HIGH","POLY","HP1","Y55","IR",38.21,23.34,14.33,5.17,40.42,21.62,15.48,7.08,0,"0",0.057838262235017,0.369439071566731,"0","0"
"2018_HIGH_POLY_HP1Y64_IR","2018_HIGH_POLY_HP1Y64_IR","Lab18",2018,NA,"HIGH","POLY","HP1","Y64","IR",28.25,16.74,12.36,2.62,35.08,17.95,14.57,5.11,0,"0",0.241769911504425,0.950381679389313,"0","0"
"2018_HIGH_POLY_HP1Y75_IR","2018_HIGH_POLY_HP1Y75_IR","Lab18",2018,NA,"HIGH","POLY","HP1","Y75","IR",29.81,17.91,11.34,2.84,32.74,18.33,12.8,4.24,0,"0",0.098289164709829,0.492957746478873,"0","0"
"2018_HIGH_POLY_HP1Y84_IR","2018_HIGH_POLY_HP1Y84_IR","Lab18",2018,NA,"HIGH","POLY","HP1","Y84","IR",32.8,22.76,12.05,3.66,34.68,18.78,13.43,5.21,0,"0",0.0573170731707318,0.423497267759563,"0","0"
"2018_HIGH_POLY_HP3B59_CV","2018_HIGH_POLY_HP3B59_CV","Lab18",2018,NA,"HIGH","POLY","HP3","B59","CV",49.28,29.56,13.56,8.67,49.72,30.14,14.88,15.92,0,"0",0.00892857142857138,0.836216839677047,"0","0"
"2018_HIGH_POLY_HP3B65_CV","2018_HIGH_POLY_HP3B65_CV","Lab18",2018,NA,"HIGH","POLY","HP3","B65","CV",38.66,36.16,12.73,8.28,42.8,36.34,14.49,14.68,0,"0",0.107087428867046,0.772946859903382,"0","0"
"2018_HIGH_POLY_HP3W36_CV","2018_HIGH_POLY_HP3W36_CV","Lab18",2018,NA,"HIGH","POLY","HP3","W36","CV",41.73,24.46,14.4,5.29,42.53,28.62,10.62,11.54,0,"0",0.0191708602923557,1.18147448015123,"0","0"
"2018_HIGH_POLY_HP3W36_IR","2018_HIGH_POLY_HP3W36_IR","Lab18",2018,NA,"HIGH","POLY","HP3","W36","IR",48.14,28.61,17.35,8.27,47.81,24.42,17.51,11.6,0,"0",-0.00685500623182381,0.402660217654172,"0","0"
"2018_HIGH_POLY_HP3W37_IR","2018_HIGH_POLY_HP3W37_IR","Lab18",2018,NA,"HIGH","POLY","HP3","W37","IR",40.13,22.03,14.91,5.21,38.96,20.1,14.01,5.87,0,"0",-0.0291552454522801,0.126679462571977,"0","0"
"2018_HIGH_POLY_HP3W4_IR","2018_HIGH_POLY_HP3W4_IR","Lab18",2018,NA,"HIGH","POLY","HP3","W4","IR",42.48,24.21,16.07,6.96,41.06,21.32,15.21,8.75,0,"0",-0.0334274952919019,0.257183908045977,"0","0"
"2018_HIGH_POLY_HP3W40_IR","2018_HIGH_POLY_HP3W40_IR","Lab18",2018,NA,"HIGH","POLY","HP3","W40","IR",38.24,22.52,13.01,5.64,38.37,21.34,13.91,2.49,0,"0",0.00339958158995804,-0.558510638297872,"0","0"
"2018_HIGH_POLY_HP3W45_CV","2018_HIGH_POLY_HP3W45_CV","Lab18",2018,NA,"HIGH","POLY","HP3","W45","CV",34.78,19.84,9.3,3.22,34.99,22.44,10.33,6.31,1,"0",0.00603795284646351,0.959627329192546,"1","1"
"2018_HIGH_POLY_HP3W61_CV","2018_HIGH_POLY_HP3W61_CV","Lab18",2018,NA,"HIGH","POLY","HP3","W61","CV",39.72,20.63,11.87,3.08,41.16,22.72,8.18,7.82,0,"0",0.0362537764350453,1.53896103896104,"0","0"
"2018_HIGH_POLY_HP3W9_IR","2018_HIGH_POLY_HP3W9_IR","Lab18",2018,NA,"HIGH","POLY","HP3","W9","IR",40.49,27.29,15.87,8.21,49.67,24.59,20.99,16.5,0,"0",0.226722647567301,1.00974421437272,"0","0"
"2018_HIGH_POLY_HP51_MB","2018_HIGH_POLY_HP51_MB","Lab18",2018,NA,"HIGH","POLY","HP5","1","LP",NA,NA,NA,NA,13.59,11.32,4.66,0.38,1,"0",NA,NA,"1","1"
"2018_HIGH_POLY_HP54_MM","2018_HIGH_POLY_HP54_MM","Lab18",2018,NA,"HIGH","POLY","HP5","4","AM",NA,NA,NA,NA,14.07,9.51,4.72,0.35,0,"0",NA,NA,"0","0"
"2018_HIGH_POLY_HP5G14_CV","2018_HIGH_POLY_HP5G14_CV","Lab18",2018,NA,"HIGH","POLY","HP5","G14","CV",32.05,25.08,7.9,3.74,45.36,33.33,13.1,13.81,1,"0",0.415288611544462,2.69251336898396,"1","1"
"2018_HIGH_POLY_HP5G19_CV","2018_HIGH_POLY_HP5G19_CV","Lab18",2018,NA,"HIGH","POLY","HP5","G19","CV",48.76,26.01,10.64,8.16,57.57,38.55,12.35,23.34,0,"0",0.180680885972108,1.86029411764706,"0","0"
"2018_HIGH_POLY_HP5G32_CV","2018_HIGH_POLY_HP5G32_CV","Lab18",2018,NA,"HIGH","POLY","HP5","G32","CV",38.78,24.97,6.35,5.56,45.41,35.18,12.89,15.21,0,"0",0.170964414646725,1.73561151079137,"0","0"
"2018_HIGH_POLY_HP5G55_CV","2018_HIGH_POLY_HP5G55_CV","Lab18",2018,NA,"HIGH","POLY","HP5","G55","CV",43.23,32.37,10.21,8.41,54.61,32.21,14.08,18.57,0,"0",0.26324311820495,1.20808561236623,"0","0"
"2018_HIGH_POLY_HP5G67_CV","2018_HIGH_POLY_HP5G67_CV","Lab18",2018,NA,"HIGH","POLY","HP5","G67","CV",45.3,29.85,9.13,8,50.06,28.32,10.44,12.7,0.5,"0",0.105077262693157,0.5875,"1","1"
"2018_HIGH_POLY_HP5G7_CV","2018_HIGH_POLY_HP5G7_CV","Lab18",2018,NA,"HIGH","POLY","HP5","G7","CV",35,23.78,7.54,3.3,45.09,29.21,11.81,12.28,0,"0",0.288285714285714,2.72121212121212,"0","0"
"2018_HIGH_POLY_HP5W69_IR","2018_HIGH_POLY_HP5W69_IR","Lab18",2018,NA,"HIGH","POLY","HP5","W69","IR",45.44,29.69,18.87,10.35,45.16,24.4,18.43,12.73,0,"0",-0.00616197183098594,0.229951690821256,"0","0"
"2018_HIGH_POLY_HP5Y1_IR","2018_HIGH_POLY_HP5Y1_IR","Lab18",2018,NA,"HIGH","POLY","HP5","Y1","IR",31.85,17.73,12.46,3.03,36.92,18.57,14.83,5.29,0,"0",0.159183673469388,0.745874587458746,"0","0"
"2018_HIGH_POLY_HP5Y27_IR","2018_HIGH_POLY_HP5Y27_IR","Lab18",2018,NA,"HIGH","POLY","HP5","Y27","IR",30.48,20.27,11.3,3.05,31.6,19.94,12.68,4.94,0,"0",0.036745406824147,0.619672131147541,"0","0"
"2018_HIGH_POLY_HP5Y38_IR","2018_HIGH_POLY_HP5Y38_IR","Lab18",2018,NA,"HIGH","POLY","HP5","Y38","IR",30.07,19.32,11.2,3.09,31.4,18.45,11.44,4.3,0,"0",0.0442301296973727,0.391585760517799,"0","0"
"2018_HIGH_POLY_HP5Y44_IR","2018_HIGH_POLY_HP5Y44_IR","Lab18",2018,NA,"HIGH","POLY","HP5","Y44","IR",34.66,21.51,14.27,4.94,34.36,19.85,14.88,5.75,0,"0",-0.00865551067512975,0.163967611336032,"0","0"
"2018_LOW_MONO_LM1O13_CV","2018_LOW_MONO_LM1O13_CV","Lab18",2018,NA,"LOW","MONO","LM1","O13","CV",26.06,20.38,9.81,2.08,NA,NA,NA,NA,0,"0",NA,NA,"0","0"
"2018_LOW_MONO_LM1O33_CV","2018_LOW_MONO_LM1O33_CV","Lab18",2018,NA,"LOW","MONO","LM1","O33","CV",35.38,24.67,11.5,3.22,57.85,36,11.85,16.17,0,"0",0.635104578858112,4.02173913043478,"0","0"
"2018_LOW_MONO_LM1O51_CV","2018_LOW_MONO_LM1O51_CV","Lab18",2018,NA,"LOW","MONO","LM1","O51","CV",46.92,30.49,14.71,8.81,46.07,33.07,12.91,16.26,0,"0",-0.0181159420289855,0.845629965947787,"0","0"
"2018_LOW_MONO_LM1Y12_CV","2018_LOW_MONO_LM1Y12_CV","Lab18",2018,NA,"LOW","MONO","LM1","Y12","CV",25.23,18.35,10.7,2.02,41.33,27.38,10.61,8.48,0,"0",0.638129211256441,3.1980198019802,"0","0"
"2018_LOW_MONO_LM1Y14_CV","2018_LOW_MONO_LM1Y14_CV","Lab18",2018,NA,"LOW","MONO","LM1","Y14","CV",28.86,22.01,12.85,2.83,38.93,29.53,10.47,9.884,0,"0",0.348925848925849,2.49257950530035,"0","0"
"2018_LOW_MONO_LM2O28_CV","2018_LOW_MONO_LM2O28_CV","Lab18",2018,NA,"LOW","MONO","LM2","O28","CV",34.63,23.62,11.15,3.64,39.72,27.85,12.6,11.05,0,"0",0.146982385215131,2.03571428571429,"0","0"
"2018_LOW_MONO_LM2O48_CV","2018_LOW_MONO_LM2O48_CV","Lab18",2018,NA,"LOW","MONO","LM2","O48","CV",33.84,30.46,30.37,5.88,40.98,33.7,13.08,12.14,0,"0",0.210992907801418,1.06462585034014,"0","0"
"2018_LOW_MONO_LM2O7_CV","2018_LOW_MONO_LM2O7_CV","Lab18",2018,NA,"LOW","MONO","LM2","O7","CV",28.71,19.92,7.18,2.52,37.15,24.61,9.22,7.91,0,"0",0.293974225008708,2.13888888888889,"0","0"
"2018_LOW_MONO_LM2O79_CV","2018_LOW_MONO_LM2O79_CV","Lab18",2018,NA,"LOW","MONO","LM2","O79","CV",44.47,26.62,13.62,6.39,41.25,28.99,11.6,10.68,0,"0",-0.0724083651900157,0.671361502347418,"0","0"
"2018_LOW_MONO_LM2O89_CV","2018_LOW_MONO_LM2O89_CV","Lab18",2018,NA,"LOW","MONO","LM2","O89","CV",28.61,22.91,9.24,2.8,40.66,30.55,10.9,9.9,0,"0",0.421181405103111,2.53571428571429,"0","0"
"2018_LOW_MONO_LM430G_CV","2018_LOW_MONO_LM430G_CV","Lab18",2018,NA,"LOW","MONO","LM4","30G","CV",NA,NA,NA,NA,39.71,27.96,10.61,9.29,0,"0",NA,NA,"0","0"
"2018_LOW_MONO_LM452O_CV","2018_LOW_MONO_LM452O_CV","Lab18",2018,NA,"LOW","MONO","LM4","52O","CV",NA,NA,NA,NA,52.15,38.28,15.56,17.64,0,"0",NA,NA,"0","0"
"2018_LOW_MONO_LM472Y_CV","2018_LOW_MONO_LM472Y_CV","Lab18",2018,NA,"LOW","MONO","LM4","72Y","CV",NA,NA,NA,NA,46.94,32.66,13.56,17.88,0,"0",NA,NA,"0","0"
"2018_LOW_MONO_LM47Y_CV","2018_LOW_MONO_LM47Y_CV","Lab18",2018,NA,"LOW","MONO","LM4","7Y","CV",NA,NA,NA,NA,55.77,34.08,13.74,17.03,0,"0",NA,NA,"0","0"
"2018_LOW_MONO_LM481G_CV","2018_LOW_MONO_LM481G_CV","Lab18",2018,NA,"LOW","MONO","LM4","81G","CV",NA,NA,NA,NA,36.46,26.52,11.42,8.13,0,"0",NA,NA,"0","0"
"2018_LOW_POLY_LP11_MM","2018_LOW_POLY_LP11_MM","Lab18",2018,NA,"LOW","POLY","LP1","1","AM",NA,NA,NA,NA,NA,NA,NA,NA,5,"0",NA,NA,"4","1"
"2018_LOW_POLY_LP1O24_CV","2018_LOW_POLY_LP1O24_CV","Lab18",2018,NA,"LOW","POLY","LP1","O24","CV",36.18,31.22,7.92,5.98,48.28,30.74,12.96,15.13,0,"0",0.334438916528469,1.53010033444816,"0","0"
"2018_LOW_POLY_LP1O61_CV","2018_LOW_POLY_LP1O61_CV","Lab18",2018,NA,"LOW","POLY","LP1","O61","CV",39.82,24.1,6.91,4.27,37.3,26.82,10.05,7.1,0,"0",-0.0632847815168258,0.662763466042155,"0","0"
"2018_LOW_POLY_LP1O77_CV","2018_LOW_POLY_LP1O77_CV","Lab18",2018,NA,"LOW","POLY","LP1","O77","CV",37.93,29,7.67,4.95,48.08,30.19,12.78,16.78,0,"0",0.267598207223833,2.38989898989899,"0","0"
"2018_LOW_POLY_LP1O85_CV","2018_LOW_POLY_LP1O85_CV","Lab18",2018,NA,"LOW","POLY","LP1","O85","CV",30.59,24.19,8.05,3.91,35.85,28.98,12.14,8.08,0,"0",0.171951618175875,1.06649616368286,"0","0"
"2018_LOW_POLY_LP1W16_IR","2018_LOW_POLY_LP1W16_IR","Lab18",2018,NA,"LOW","POLY","LP1","W16","IR",42.06,24.51,16.35,7.47,42.74,23.37,16.36,9.09,0,"0",0.0161673799334284,0.216867469879518,"0","0"
"2018_LOW_POLY_LP1W38_IR","2018_LOW_POLY_LP1W38_IR","Lab18",2018,NA,"LOW","POLY","LP1","W38","IR",40.66,23.3,16.65,7.9,43.3,24.4,15.1,8.83,0,"0",0.0649286768322676,0.117721518987342,"0","0"
"2018_LOW_POLY_LP1W6_IR","2018_LOW_POLY_LP1W6_IR","Lab18",2018,NA,"LOW","POLY","LP1","W6","IR",50.5,28.95,21.56,14.66,NA,NA,NA,NA,0,"0",NA,NA,"0","0"
"2018_LOW_POLY_LP1W97_IR","2018_LOW_POLY_LP1W97_IR","Lab18",2018,NA,"LOW","POLY","LP1","W97","IR",41.23,24.53,14.96,6.67,43.5,25,16.1,10.61,0,"0",0.0550569973320399,0.590704647676162,"0","0"
"2018_LOW_POLY_LP1Y12_IR","2018_LOW_POLY_LP1Y12_IR","Lab18",2018,NA,"LOW","POLY","LP1","Y12","IR",35.78,21.62,12.81,4.18,40.4,21.6,13.7,7.1,0,"0",0.129122414756847,0.698564593301435,"0","0"
"2018_LOW_POLY_LP1Y43_CV","2018_LOW_POLY_LP1Y43_CV","Lab18",2018,NA,"LOW","POLY","LP1","Y43","CV",29.53,22.37,5.112,2.31,41.3,25.29,10.13,8.89,0.5,"0",0.398577717575347,2.84848484848485,"1","1"
"2018_LOW_POLY_LP51_MB","2018_LOW_POLY_LP51_MB","Lab18",2018,NA,"LOW","POLY","LP5","1","LP",NA,NA,NA,NA,19.15,15.34,5.37,0.68,4,"0",NA,NA,"4","1"
"2018_LOW_POLY_LP52_MB","2018_LOW_POLY_LP52_MB","Lab18",2018,NA,"LOW","POLY","LP5","2","LP",NA,NA,NA,NA,15.07,11.1,5.68,0.48,3,"0",NA,NA,"3","1"
"2018_LOW_POLY_LP53_MM","2018_LOW_POLY_LP53_MM","Lab18",2018,NA,"LOW","POLY","LP5","3","AM",NA,NA,NA,NA,12.53,8.68,4.2,0.27,0,"0",NA,NA,"0","0"
"2018_LOW_POLY_LP5G15_CV","2018_LOW_POLY_LP5G15_CV","Lab18",2018,NA,"LOW","POLY","LP5","G15","CV",34.27,25.92,8.17,3.64,42.03,25.44,8.83,8.78,0,"0",0.226437117011964,1.41208791208791,"0","0"
"2018_LOW_POLY_LP5G9_CV","2018_LOW_POLY_LP5G9_CV","Lab18",2018,NA,"LOW","POLY","LP5","G9","CV",37.55,21.94,8.17,3.87,48.33,30.58,12.13,12.8,0.5,"0",0.287083888149135,2.30749354005168,"1","1"
"2018_LOW_POLY_LP5O45_CV","2018_LOW_POLY_LP5O45_CV","Lab18",2018,NA,"LOW","POLY","LP5","O45","CV",36.93,34.14,9.98,6.91,43.32,29.06,11.8,10.88,0.5,"0",0.173030056864338,0.574529667149059,"1","1"
"2018_LOW_POLY_LP5O51_CV","2018_LOW_POLY_LP5O51_CV","Lab18",2018,NA,"LOW","POLY","LP5","O51","CV",41.67,30.79,9.77,8.84,48.25,32.51,13.82,17.11,1,"0",0.157907367410607,0.93552036199095,"1","1"
"2018_LOW_POLY_LP5O78_CV","2018_LOW_POLY_LP5O78_CV","Lab18",2018,NA,"LOW","POLY","LP5","O78","CV",NA,NA,NA,NA,47.2,25.58,10.15,10.21,0.5,"0",NA,NA,"1","1"
"2018_LOW_POLY_LP5O83_CV","2018_LOW_POLY_LP5O83_CV","Lab18",2018,NA,"LOW","POLY","LP5","O83","CV",42.92,27.57,8.42,6.11,42.68,26.23,9.81,9.84,0,"0",-0.00559179869524702,0.610474631751227,"0","0"
"2018_LOW_POLY_LP5W11_IR","2018_LOW_POLY_LP5W11_IR","Lab18",2018,NA,"LOW","POLY","LP5","W11","IR",35.2,21.49,13.63,4.02,34.51,13.8,13.12,5.41,0,"0",-0.0196022727272729,0.345771144278607,"0","0"
"2018_LOW_POLY_LP5W25_IR","2018_LOW_POLY_LP5W25_IR","Lab18",2018,NA,"LOW","POLY","LP5","W25","IR",45.14,23.77,16.95,8.71,45.93,22.59,17.92,10.99,0,"0",0.0175011076650421,0.261768082663605,"0","0"
"2018_LOW_POLY_LP5W41_IR","2018_LOW_POLY_LP5W41_IR","Lab18",2018,NA,"LOW","POLY","LP5","W41","IR",40.78,21.61,13.16,5.52,40.41,20.9,14.27,7.03,0,"0",-0.00907307503678285,0.273550724637681,"0","0"
"2018_LOW_POLY_LP5W48_IR","2018_LOW_POLY_LP5W48_IR","Lab18",2018,NA,"LOW","POLY","LP5","W48","IR",50.87,25.72,25.64,11.49,50.47,23.8,18.84,14.33,0,"0",-0.00786318065657556,0.247171453437772,"0","0"
"2018_LOW_POLY_LP5W5_IR","2018_LOW_POLY_LP5W5_IR","Lab18",2018,NA,"LOW","POLY","LP5","W5","IR",47.35,24.54,16.22,8.59,NA,NA,NA,NA,0,"0",NA,NA,"0","0"
"2018_LOW_POLY_LP5Y92_CV","2018_LOW_POLY_LP5Y92_CV","Lab18",2018,NA,"LOW","POLY","LP5","Y92","CV",35.79,21.41,7.31,3.3,35.44,23.4,9.05,7.48,0,"0",-0.00977926795194192,1.26666666666667,"0","0"
"2018_LOW_POLY_LP71_MB","2018_LOW_POLY_LP71_MB","Lab18",2018,NA,"LOW","POLY","LP7","1","LP",NA,NA,NA,NA,15.52,11.4,5.73,0.47,5,"0",NA,NA,"4","1"
"2018_LOW_POLY_LP72_MB","2018_LOW_POLY_LP72_MB","Lab18",2018,NA,"LOW","POLY","LP7","2","LP",NA,NA,NA,NA,13.18,10.49,5.54,0.34,2,"0",NA,NA,"2","1"
"2018_LOW_POLY_LP73_MB","2018_LOW_POLY_LP73_MB","Lab18",2018,NA,"LOW","POLY","LP7","3","LP",NA,NA,NA,NA,NA,NA,NA,NA,2,"0",NA,NA,"2","1"
"2018_LOW_POLY_LP74_MM","2018_LOW_POLY_LP74_MM","Lab18",2018,NA,"LOW","POLY","LP7","4","AM",NA,NA,NA,NA,16.28,10.16,4.88,0.44,3,"0",NA,NA,"3","1"
"2018_LOW_POLY_LP75_MM","2018_LOW_POLY_LP75_MM","Lab18",2018,NA,"LOW","POLY","LP7","5","AM",NA,NA,NA,NA,NA,NA,NA,NA,0,"0",NA,NA,"0","0"
"2018_LOW_POLY_LP7O11_CV","2018_LOW_POLY_LP7O11_CV","Lab18",2018,NA,"LOW","POLY","LP7","O11","CV",50.8,27.4,11.26,8.12,35.79,28.25,11.36,7.85,0,"0",-0.295472440944882,-0.0332512315270935,"0","0"
"2018_LOW_POLY_LP7O23_CV","2018_LOW_POLY_LP7O23_CV","Lab18",2018,NA,"LOW","POLY","LP7","O23","CV",40.69,27.45,6.81,5.53,30.21,33.73,12.48,10.51,0,"0",-0.257557139346277,0.900542495479204,"0","0"
"2018_LOW_POLY_LP7Y16_IR","2018_LOW_POLY_LP7Y16_IR","Lab18",2018,NA,"LOW","POLY","LP7","Y16","IR",35.81,18.98,14.55,4.07,40.09,20.99,16.9,6.36,0,"0",0.119519687238202,0.562653562653563,"0","0"
"2018_LOW_POLY_LP7Y17_IR","2018_LOW_POLY_LP7Y17_IR","Lab18",2018,NA,"LOW","POLY","LP7","Y17","IR",29.53,18.38,11.29,2.85,36.81,23.17,14.5,5.95,0,"0",0.246528953606502,1.08771929824561,"0","0"
"2018_LOW_POLY_LP7Y74_IR","2018_LOW_POLY_LP7Y74_IR","Lab18",2018,NA,"LOW","POLY","LP7","Y74","IR",28.56,17.68,11.94,2.57,34.63,20.05,14.84,5.27,0,"0",0.212535014005602,1.05058365758755,"0","0"
"2018_LOW_POLY_LP7Y8_CV","2018_LOW_POLY_LP7Y8_CV","Lab18",2018,NA,"LOW","POLY","LP7","Y8","CV",NA,NA,NA,NA,39.33,28.9,10.79,7.41,0.5,"0",NA,NA,"1","1"
"2018_LOW_POLY_LP7Y88_IR","2018_LOW_POLY_LP7Y88_IR","Lab18",2018,NA,"LOW","POLY","LP7","Y88","IR",NA,NA,NA,NA,31.36,17.72,11.61,3.34,0,"0",NA,NA,"0","0"
"2018_LOW_POLY_LP7Y94_IR","2018_LOW_POLY_LP7Y94_IR","Lab18",2018,NA,"LOW","POLY","LP7","Y94","IR",NA,NA,NA,NA,32.76,18.44,14.03,4.57,0,"0",NA,NA,"0","0"
